data,moeda,close,media_movel_200
2025-01-01,ETH/USDT,3360.38,2985.0326
2025-01-02,ETH/USDT,3455.67,2984.1889
2025-01-03,ETH/USDT,3609.01,2984.6766500000003
2025-01-04,ETH/USDT,3656.88,2985.54395
2025-01-05,ETH/USDT,3635.99,2985.92135
2025-01-06,ETH/USDT,3687.45,2986.7932
2025-01-07,ETH/USDT,3381.31,2986.1072500000005
2025-01-08,ETH/USDT,3327.29,2985.2649499999998
2025-01-09,ETH/USDT,3219.2,2984.2564
2025-01-10,ETH/USDT,3267.04,2983.82795
2025-01-11,ETH/USDT,3282.83,2983.26755
2025-01-12,ETH/USDT,3267.3,2982.74685
2025-01-13,ETH/USDT,3137.51,2981.1821999999997
2025-01-14,ETH/USDT,3225.63,2980.4095999999995
2025-01-15,ETH/USDT,3451.52,2980.7732
2025-01-16,ETH/USDT,3308.05,2980.1226500000002
2025-01-17,ETH/USDT,3473.63,2980.2798000000003
2025-01-18,ETH/USDT,3307.71,2979.7115999999996
2025-01-19,ETH/USDT,3215.12,2979.3098
2025-01-20,ETH/USDT,3284.0,2980.4313
2025-01-21,ETH/USDT,3327.54,2982.1601
2025-01-22,ETH/USDT,3242.6,2983.03895
2025-01-23,ETH/USDT,3338.21,2985.075
2025-01-24,ETH/USDT,3310.09,2986.5304000000006
2025-01-25,ETH/USDT,3318.77,2987.7909999999997
2025-01-26,ETH/USDT,3232.61,2988.4488
2025-01-27,ETH/USDT,3182.44,2988.86315
2025-01-28,ETH/USDT,3077.72,2988.5823499999997
2025-01-29,ETH/USDT,3113.9,2988.2722
2025-01-30,ETH/USDT,3247.39,2988.28375
2025-01-31,ETH/USDT,3300.99,2987.37175
2025-02-01,ETH/USDT,3117.54,2985.7388
2025-02-02,ETH/USDT,2869.68,2983.15195
2025-02-03,ETH/USDT,2879.9,2980.41895
2025-02-04,ETH/USDT,2731.19,2976.5572500000003
2025-02-05,ETH/USDT,2788.25,2972.9110000000005
2025-02-06,ETH/USDT,2686.64,2968.6645999999996
2025-02-07,ETH/USDT,2622.1,2964.5771000000004
2025-02-08,ETH/USDT,2632.46,2960.32685
2025-02-09,ETH/USDT,2627.18,2956.7837
2025-02-10,ETH/USDT,2661.19,2954.2122499999996
2025-02-11,ETH/USDT,2602.59,2950.8521499999997
2025-02-12,ETH/USDT,2738.27,2948.29845
2025-02-13,ETH/USDT,2675.87,2945.327
2025-02-14,ETH/USDT,2725.95,2942.3684500000004
2025-02-15,ETH/USDT,2693.04,2939.4376
2025-02-16,ETH/USDT,2661.41,2936.5809500000005
2025-02-17,ETH/USDT,2744.05,2934.2842000000005
2025-02-18,ETH/USDT,2671.99,2932.6961000000006
2025-02-19,ETH/USDT,2715.5,2931.7554000000005
